1000	2.75	1	2018
1000	6.7	2	2018
1000	3.5	3	2018
1000	8.1	6	2018
1000	4	5	2018
1000	13.1	4	2018
1000	8.3	7	2018
1000	2.75	12	2018
1000	6.7	10	2018
1000	2.75	9	2018
1000	3.25	11	2018
1000	3.5	8	2018
1100	3.1	1	2018
1100	5.4	3	2018
1100	4.95	2	2018
1100	5	4	2018
1100	6.8	5	2018
1100	6.5	6	2018
1100	5.4	7	2018
1100	7	8	2018
1100	6.5	9	2018
1100	10	10	2018
1100	6.5	11	2018
1100	11.5	12	2018
1200	3.4	1	2019
1200	5.35	3	2019
1200	4.95	2	2019
1200	9.1	4	2019
1200	6.8	5	2019
1200	6.5	6	2019
1200	5.4	7	2019
1200	8.9	8	2019
1200	7.7	9	2019
1200	3.85	10	2019
1200	2.4	11	2019
1200	10	12	2019
